encora_id,show_name,tour_name,date,master,nft_status,cast,encora_link
3,Wicked,Broadway,2014-08-18,SJ Bernly,Not NFT,"Christine Dwyer ( Elphaba), Jenni Barber ( Glinda), Justin Guarini ( Fiyero), Tom McGowan ( The Wizard), Mary Testa ( Madame Morrible), Kelli Barrett ( Nessarose), Michael Wartella ( Boq), K. Todd Freeman ( Doctor Dillamond)",https://encora.it/recordings/3
7,Wicked,Broadway,2008-08-05,broadwayspunk,Not NFT,"Kerry Ellis ( Elphaba), Kendra Kassebaum ( Glinda), Aaron Tveit ( Fiyero), P.J. Benjamin ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Ben Liebert ( Boq), Steven Skybell ( Doctor Dillamond)",https://encora.it/recordings/7
8,Wicked,Broadway,2015-02-01,SunsetBlvd79,Not NFT,"Lilli Cooper ( Elphaba), Kara Lindsay ( Glinda), Jerad Bortz ( Fiyero), Brian Munn ( The Wizard), Kathy Fitzgerald ( Madame Morrible), Catherine Charlebois ( Nessarose), Robin de Jesús ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/8
11,Wicked,Broadway,2015-01-02,SJ Bernly,Not NFT,"Caroline Bowman ( Elphaba), Kara Lindsay ( Glinda), Matt Shingledecker ( Fiyero), Tom McGowan ( The Wizard), Kathy Fitzgerald ( Madame Morrible), Kelli Barrett ( Nessarose), Robin de Jesús ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/11
14,Wicked,Broadway,2004-07-18,Unknown,Not NFT,"Idina Menzel ( Elphaba), Kristin Chenoweth ( Glinda), Norbert Leo Butz ( Fiyero), Sean McCourt ( The Wizard), Carole Shelley ( Madame Morrible), Michelle Federer ( Nessarose), Randy Harrison ( Boq), William Youmans ( Doctor Dillamond)",https://encora.it/recordings/14
16,Wicked,Broadway,2016-06-21,SJ Bernly,2016-11-30,"Rachel Tucker ( Elphaba), Ginna Claire Mason ( Glinda), Jonah Platt ( Fiyero), Peter Scolari ( The Wizard), Judy Kaye ( Madame Morrible), Dawn E. Cantwell ( Nessarose), Zachary Noah Piser ( Boq), Michael Genet ( Doctor Dillamond), Christopher King ( Chistery), Sterling Masters ( Witch's Mother), William Ryall ( Witch's Father), William Ryall ( Ozian Official)",https://encora.it/recordings/16
17,Wicked,Broadway,2016-06-25,SunsetBlvd79,Not NFT,"Rachel Tucker ( Elphaba), Carrie St. Louis ( Glinda), Jonah Platt ( Fiyero), Peter Scolari ( The Wizard), Judy Kaye ( Madame Morrible), Dawn E. Cantwell ( Nessarose), Zachary Noah Piser ( Boq), Michael Genet ( Doctor Dillamond)",https://encora.it/recordings/17
23,Wicked,Broadway,2008-10-31,Unknown,Not NFT,"Kerry Ellis ( Elphaba), Kendra Kassebaum ( Glinda), Aaron Tveit ( Fiyero), P.J. Benjamin ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Ben Liebert ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/23
37,Wicked,Scheveningen,2013-01-10,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Céline Purcell ( Glinda), Ferry Doedens ( Fiyero), Bill van Dijk ( The Wizard), Pamela Teves ( Madame Morrible), Christanne de Bruijn ( Nessarose), Niels Jacobs ( Boq), Jochem Feste Roozemond ( Doctor Dillamond)",https://encora.it/recordings/37
202,Pippin,First Broadway Revival,2013-07-13,SunsetBlvd79,Not NFT,"Patina Miller ( Leading Player), Matthew James Thomas ( Pippin), Charlotte d'Amboise ( Fastrada), Andrea Martin ( Berthe), Terrence Mann ( Charles), Rachel Bay Jones ( Catherine), Erik Altemus ( Lewis), Ashton Woerz ( Theo)",https://encora.it/recordings/202
210,Fun Home,Broadway,2015-03-29,SunsetBlvd79,Not NFT,"Beth Malone ( Alison), Emily Skeggs ( Medium Alison), Sydney Lucas ( Small Alison), Michael Cerveris ( Bruce), Judy Kuhn ( Helen), Roberta Colindrez ( Joan), Oscar Williams ( Christian), Zell Steele Morrow ( John), Joel Perez ( Roy)",https://encora.it/recordings/210
292,Wicked,Broadway,2010-11-12,SJ Bernly,Not NFT,"Mandy Gonzalez ( Elphaba), Laura Woyasz ( Glinda), Andy Karl ( Fiyero), P.J. Benjamin ( The Wizard), Kathy Fitzgerald ( Madame Morrible), Jenny Fellner ( Nessarose), Etai Benson ( Boq), Tom Flynn ( Doctor Dillamond)",https://encora.it/recordings/292
382,The Bridges of Madison County,Broadway,2014-04-16,SunsetBlvd79,Not NFT,"Kelli O'Hara ( Francesca Johnson), Steven Pasquale ( Robert Kincaid), Hunter Foster ( Bud Johnson), Cass Morgan ( Marge), Michael X. Martin ( Charlie), Derek Klena ( Michael Johnson), Caitlin Kinnunen ( Carolyn Johnson), Whitney Bashor ( Marian), Whitney Bashor ( Chiara)",https://encora.it/recordings/382
385,The Mystery of Edwin Drood,First Broadway Revival,2013-03-10,SunsetBlvd79,Not NFT,"Stephanie J. Block ( Edwin Drood), Will Chase ( John Jasper), Chita Rivera ( The Princess Puffer), Jim Norton ( Chairman), Stephanie J. Block ( Miss Alice Nutting), Chita Rivera ( Miss Angela Prysock), Erin Davie ( Rosa Bud), Will Chase ( Mr. Clive Paget), Jim Norton ( Mr. William Cartwright), Erin Davie ( Miss Deirdre Peregrine), Jessie Mueller ( Helena Landless), Andrew Samonsky ( Neville Landless), Robert Creighton ( Durdles), Andrew Samonsky ( Mr. Victor Grinstead), Gregg Edelman ( Reverend Mr. Crisparkle), Jessie Mueller ( Miss Janet Conover), Gregg Edelman ( Mr. Cedric Moncrieffe), Robert Creighton ( Mr. Nick Cricker), Peter Benson ( Mr. Phillip Bax), Peter Benson ( Bazzard), Nicholas Barasch ( Deputy), Nicholas Barasch ( Master Nick Cricker)",https://encora.it/recordings/385
1006,KPOP,Off-Broadway,2017-10-07,hi_im_joe,Not NFT,"Marina Kondo ( MwE), Vanessa Kai ( Ruby), Jiho Kang ( Lex), Joomin Hwang ( Timmy X), Katie Lee Hill ( Tiny D), Julia Abueva ( Sonoma), John Yi ( Bobo), Jinwoo Jung ( Oracle), James Saito ( Moon), Susannah Kim ( Mina), Cathy Ang ( Jin Hee), James Seol ( Jerry), Ebony Williams ( Jenn), Jason Tam ( Epic), David Shih ( Dr. Park), Sun Hye Park ( Callie), Deborah Kim ( XO), Amanda Morton ( Yazmeen)",https://encora.it/recordings/1006
1098,Groundhog Day,Broadway,2017-04-01,SunsetBlvd79,Not NFT,"Andy Karl ( Phil Connors), Barrett Doss ( Rita Hanson), John Sanders ( Ned Ryerson), Raymond J. Lee ( Ralph), Vishal Vaidya ( Larry), Heather Ayers ( Mrs. Lancaster), Katy Geraghty ( Debbie), Josh Lamon ( Buster), Joseph Medeiros ( Deputy), Jenna Rubaii ( Joelle), Sean Montgomery ( Sheriff), Gerard Canonico ( Fred), Andrew Call ( Gus), Travis Waldschmidt ( Jeff), Rebecca Faulkenberry ( Nancy Taylor), Tari Kelly ( Piano Teacher), Michael Fatica ( Chubby Man), Rheaume Crenshaw ( Doris), William Parry ( Jenson), Taylor Iman Jones ( Lady Storm Chaser)",https://encora.it/recordings/1098
1192,Wicked,Broadway,2016-12-23,Unknown,Not NFT,"Jennifer DiNoia ( Elphaba), Kara Lindsay ( Glinda), Michael Campayno ( Fiyero), Peter Scolari ( The Wizard), Sheryl Lee Ralph ( Madame Morrible), Dawn E. Cantwell ( Nessarose), Zachary Noah Piser ( Boq), Michael Genet ( Doctor Dillamond)",https://encora.it/recordings/1192
1450,Fun Home,First US National Tour,2016-11-04,SunsetBlvd79,Not NFT,"Kate Shindle ( Alison), Abby Corrigan ( Medium Alison), Carly Gold ( Small Alison), Robert Petkoff ( Bruce), Susan Moniz ( Helen), Karen Eilbacher ( Joan), Pierson Salvador ( Christian), Lennon Nate Hammond ( John), Robert Hager ( Roy)",https://encora.it/recordings/1450
1793,KPOP,Off-Broadway,2017-09-20,scaaahftrading,Not NFT,"Ashley Park ( MwE), Vanessa Kai ( Ruby), Jiho Kang ( Lex), Joomin Hwang ( Timmy X), Katie Lee Hill ( Tiny D), Julia Abueva ( Sonoma), John Yi ( Bobo), Jinwoo Jung ( Oracle), James Saito ( Moon), Susannah Kim ( Mina), Cathy Ang ( Jin Hee), James Seol ( Jerry), Ebony Williams ( Jenn), Jason Tam ( Epic), David Shih ( Dr. Park), Sun Hye Park ( Callie), Deborah Kim ( XO), Amanda Morton ( Yazmeen)",https://encora.it/recordings/1793
1821,Evita,Studio Tenn Theatre Company,2016-09-13,SunsetBlvd79,Not NFT,"Eden Espinosa ( Eva Perón), Ben Crawford ( Che), Anthony Crivello ( Perón), René Millán ( Magaldi), Mia Rose Lynne ( Perón's Mistress)",https://encora.it/recordings/1821
1889,The Cripple of Inishmaan,Broadway,2014-01-01,Unknown,Not NFT,"Daniel Radcliffe ( Billy), Gillian Hanna ( Eileen Osborne), Ingrid Craigie ( Kate Osborne), Conor MacNeill ( Bartley McCormick), Sarah Greene ( Helen McCormick), Pat Shortt ( Johnnypateenmike), June Watson ( Mammy)",https://encora.it/recordings/1889
2092,Wicked,Broadway,2006-05-28,secretlydefying,Not NFT,"Eden Espinosa ( Elphaba), Megan Hilty ( Glinda), Derrick Williams ( Fiyero), David Garrison ( The Wizard), Carol Kane ( Madame Morrible), Jenna Leigh Green ( Nessarose), Robb Sapp ( Boq), Sean McCourt ( Doctor Dillamond)",https://encora.it/recordings/2092
2322,Wicked,Broadway,2007-01-20,jstarz,Not NFT,"Julia Murney ( Elphaba), Katie Adams ( Glinda), Sebastian Arcelus ( Fiyero), David Garrison ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Logan Lipton ( Boq), Steven Skybell ( Doctor Dillamond)",https://encora.it/recordings/2322
3029,Wicked,Stuttgart,2009-02-20,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Lucy Scherer ( Glinda), Mathias Edenborn ( Fiyero), Stefan Poslovski ( The Wizard), Barbara Raunegger ( Madame Morrible), Nicole Radeschnig ( Nessarose), Robert Knorr ( Boq), Michael Günther ( Doctor Dillamond)",https://encora.it/recordings/3029
5120,The Hunchback of Notre Dame (Disney),Paper Mill Playhouse,2015-04-05,Unknown,Not NFT,"Michael Arden ( Quasimodo), Ciara Renée ( Esmeralda), Patrick Page ( Claude Frollo), Andrew Samonsky ( Captain Phoebus de Martin), Erik Liberman ( Clopin Trouillefou), Jeremy Stolle ( Jehan Frollo), Neal Mayer ( Saint Aphrodisius)",https://encora.it/recordings/5120
5615,Charlie and the Chocolate Factory,Broadway,2017-05-01,NYCG8R,Not NFT,"Christian Borle ( Willy Wonka), Jake Ryan Flynn ( Charlie Bucket), John Rubinstein ( Grandpa Joe), Emily Padgett ( Mrs. Bucket), Michael Wartella ( Mike Teavee), Jackie Hoffman ( Mrs. Teavee), Emma Pfaeffle ( Veruca Salt), Ben Crawford ( Mr. Salt), Trista Dollison ( Violet Beauregarde), Alan H. Green ( Mr. Beauregarde), F. Michael Haynie ( Augustus Gloop), Kathy Fitzgerald ( Mrs. Gloop)",https://encora.it/recordings/5615
6210,Wicked,Broadway,2010-04-09,SunsetBlvd79,Not NFT,"Mandy Gonzalez ( Elphaba), Katie Rose Clarke ( Glinda), Andy Karl ( Fiyero), P.J. Benjamin ( The Wizard), Rondi Reed ( Madame Morrible), Jenny Fellner ( Nessarose), Alex Brightman ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/6210
6262,We Will Rock You,West End,2003-02-11,pro-shot,Not NFT,"Tony Vincent ( Galileo), Hannah Jane Fox ( Scaramouche), Sharon D. Clarke ( Killer Queen), Alexander Hanson ( Khashoggi), Kerry Ellis ( Meat), Kerry Ellis ( Oz), Nigel Clauzel ( Brit), Nigel Planer ( Buddy), Nigel Clauzel ( J.B.), Nigel Planer ( Pop), Nigel Planer ( Bap)",https://encora.it/recordings/6262
7442,Wicked,Stuttgart,2009-02-21,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Jana Stelley ( Glinda), Mathias Edenborn ( Fiyero), Carlo Lauber ( The Wizard), Barbara Raunegger ( Madame Morrible), Nicole Radeschnig ( Nessarose), Stefan Stara ( Boq), Michael Günther ( Doctor Dillamond)",https://encora.it/recordings/7442
7458,Wicked,Broadway,2009-03-07,SJ Bernly,Not NFT,"Nicole Parker ( Elphaba), Alli Mauzey ( Glinda), Aaron Tveit ( Fiyero), Anthony Galde ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Alex Brightman ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/7458
7726,Wicked,Stuttgart,2008-12-07,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Jana Stelley ( Glinda), Mathias Edenborn ( Fiyero), Stefan Poslovski ( The Wizard), Barbara Raunegger ( Madame Morrible), Nicole Radeschnig ( Nessarose), Stefan Stara ( Boq), Matthias Dressel ( Doctor Dillamond)",https://encora.it/recordings/7726
7759,Wicked,Oberhausen,2010-10-09,Ozerhausen,Not NFT,"Sabrina Weckerlin ( Elphaba), Joana Fee Würz ( Glinda), Jonas Wåhlin ( Fiyero), Carlo Lauber ( The Wizard), Barbara Raunegger ( Madame Morrible), Lanie Sumalinog ( Nessarose), David Hardenberg ( Boq), Thomas Wißmann ( Doctor Dillamond)",https://encora.it/recordings/7759
8053,Beaches,Drury Lane Theatre,2015-08-16,kradder32,Not NFT,"Whitney Bashor ( Bertie White), Shoshana Bean ( Cee Cee Bloom), Brooklyn Shuck ( Nina), Travis Taylor ( John Perry), Olivia Renteria ( Teen Bertie), Samantha Pauly ( Teen Cee Cee), Brooklyn Shuck ( Little Bertie), Presley Ryan ( Little Cee Cee), Nancy Voights ( Leona Bloom), Jim DeSelm ( Michael Barron), Andrew Varela ( Arthur), Mike Accardo ( Nathan)",https://encora.it/recordings/8053
8215,Peter Pan Goes Wrong,BBC Special,2016-12-31,pro-shot,Not NFT,"David Suchet ( Francis), Charlie Russell ( Sandra), Nancy Zamit ( Annie), Henry Lewis ( Robert), Greg Tannahill ( Jonathan), Henry Shields ( Chris Bean), Greg Tannahill ( Peter Pan), Nancy Zamit ( Lisa), Dave Hearn ( Crocodile), Chris Leask ( Trevor Watson), Henry Lewis ( Starkey), Ellie Morris ( Lucy), Dave Hearn ( Max Bennett), Jonathan Sayer ( Dennis Tyde), Henry Shields ( Captain Hook), Henry Lewis ( Nana the Dog), Dave Hearn ( Michael Darling), Jonathan Sayer ( John Darling), Nancy Zamit ( Tinker Bell), Nancy Zamit ( Mary Darling), Charlie Russell ( Wendy Darling), David Suchet ( Narrator), Nancy Zamit ( Tigerlily), Henry Shields ( George), Ellie Morris ( Tootles), Bryony Corrigan ( Cornley Crew Member), Niall Ransome ( Cornley Crew Member), Harry Kershaw ( BBC Crew Member), Jonathan Sayer ( Smee), Michael Bodie ( Paramedic), Adam Meggido ( Park Keeper)",https://encora.it/recordings/8215
8236,A Christmas Carol Goes Wrong,BBC Special,2017-12-30,pro-shot,Not NFT,"Henry Shields ( Chris), Henry Lewis ( Robert), Charlie Russell ( Sandra), Dave Hearn ( Max), Chris Leask ( Trevor), Nancy Zamit ( Annie), Greg Tannahill ( Jonathan), Jonathan Sayer ( Dennis), Ellie Morris ( Lucy), Diana Rigg ( Aunt Diana), Derek Jacobi ( Scrooge), Derek Jacobi ( Himself)",https://encora.it/recordings/8236
8404,Wicked,Broadway,2019-03-01,StarCuffedJeans,2019-08-25,"Laurel Harris ( Elphaba), Katie Rose Clarke ( Glinda), Ryan McCartan ( Fiyero), Michael McCormick ( The Wizard), Nancy Opel ( Madame Morrible), Gizel Jimenez ( Nessarose), Jesse JP Johnson ( Boq), Jamie Jackson ( Doctor Dillamond), Manuel Herrera ( Chistery), Kathy Santen ( Midwife), Sterling Masters ( Witch's Mother), William Ryall ( Witch's Father), William Ryall ( Ozian Official)",https://encora.it/recordings/8404
8476,Blood Brothers,West End,2012-10-01,Unknown,Not NFT,"Philip Stewart ( Narrator), Mark Rice Oxley ( Mickey), Paul Christopher ( Eddie), Abigail Jaye ( Mrs. Lyons), Vivienne Carlyle ( Mrs. Johnstone), Michael Southern ( Sammy), Louise Clayton ( Linda), Kevin Pallister ( Mr. Lyons)",https://encora.it/recordings/8476
10640,October Sky,The Old Globe,2016-10-02,SJ Bernly,Not NFT,"Connor Russell ( Quentin), Steve Gouveia ( Earl), James Royce Edwards ( Jake), Kevyn Morrow ( Ken), Nick Sullivan ( Mr. Turner), Joel Blum ( Ike Bykovski), Eliza Palasz ( Dorothy), Ron Bohmer ( John Hickam), Sandra DeNise ( Miss Riley), Austyn Myers ( O'Dell), Patrick Rooney ( Roy Lee), Kyle Selig ( Homer Hickam), Kerry O'Malley ( Elise Hickam), Betsy Stewart ( Emily Sue), Destan Owens ( Bathtub Amos), Will Branner ( Buck), Liam Quealy ( Jim), Lance Arthur Smith ( Otis), Rebecca Bellingham ( Mary Bykovski), Angela Wildflower ( Harriet), Scott Wakefield ( Minister)",https://encora.it/recordings/10640
11139,Company,Second West End Revival,2019-01-01,hitmewithyourbethshot,2019-05-05,"Rosalie Craig ( Bobbie), Patti LuPone ( Joanne), Ben Lewis ( Larry), Jonathan Bailey ( Jamie), Alex Gaumond ( Paul), Mel Giedroyc ( Sarah), Gavin Spokes ( Harry), Daisy Maywood ( Susan), Ashley Campbell ( Peter), Jennifer Saayeng ( Jenny), Richard Henders ( David), Richard Fleeshman ( Andy), George Blagden ( PJ), Matthew Seadon-Young ( Theo)",https://encora.it/recordings/11139
11648,Be More Chill,Broadway,2019-05-14,followtheneon,Not NFT,"Troy Iwata ( Jeremy Heere), Anthony Chatmon II ( Michael Mell), Stephanie Hsu ( Christine Canigula), Jason Tam ( The SQUIP), Lauren Marcus ( Brooke Lohst), Katlyn Carlson ( Chloe Valentine), Tiffany Mann ( Jenna Rolan), Cameron Bond ( Jake Dillinger), Gerard Canonico ( Rich Goranski), Jason SweetTooth Williams ( Mr. Heere), Jason SweetTooth Williams ( Mr. Reyes), Jason SweetTooth Williams ( Scary Stockboy)",https://encora.it/recordings/11648
14249,Evita,Netherlands,1996-05-22,pro-shot,Not NFT,"Pia Douwes ( Eva Perón), Bill van Dijk ( Che), Jeroen Phaff ( Perón), Frans Limburg ( Magaldi), Marleen van der Loo ( Perón's Mistress)",https://encora.it/recordings/14249
14251,Gigi,First Broadway Revival,2015-03-28,SunsetBlvd79,Not NFT,"Vanessa Hudgens ( Gigi), Corey Cott ( Gaston), Victoria Clark ( Mamita), Howard McGillin ( Honore), Dee Hoty ( Aunt Alicia), Steffanie Leigh ( Liane)",https://encora.it/recordings/14251
14268,Tarzan,Stuttgart,2015-08-21,forcuepeek,Not NFT,"Gian Marco Schiaretti ( Tarzan), Merle Hoch ( Jane), Massimiliano Pironti ( Terk), Jan Ammann ( Kerchak), Willemijn Verkaik ( Kala), Maik Lohse ( Professor Porter), Leon Roeven ( Clayton), Matthias Lernhart ( Young Tarzan), Clayton Sia ( Ensemble), Chukwu Asante I ( Ensemble), Cheyne Whichello ( Ensemble), Gianluca Briganti ( Ensemble), Alexsandr Kochkin ( Ensemble), James Mackie ( Ensemble), Anatoliy Ivankov ( Ensemble), Georgia Briggs ( Ensemble), Sabrina Sepe ( Ensemble), Isis Paula Barbosa dos Santos ( Ensemble), Joe Nolan ( Ensemble), Johanna Zett ( Ensemble), Laura Robinson ( Ensemble), Carmen Danen ( Ensemble)",https://encora.it/recordings/14268
14795,Wicked,Scheveningen,2012-07-28,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Chantal Janzen ( Glinda), Jim Bakkum ( Fiyero), Bill van Dijk ( The Wizard), Pamela Teves ( Madame Morrible), Christanne de Bruijn ( Nessarose), Niels Jacobs ( Boq), Jochem Feste Roozemond ( Doctor Dillamond)",https://encora.it/recordings/14795
16026,Pippin,First Broadway Revival,2014-08-16,SJ Bernly,Not NFT,"Ciara Renée ( Leading Player), Kyle Dean Massey ( Pippin), Charlotte d'Amboise ( Fastrada), Priscilla Lopez ( Berthe), John Rubinstein ( Charles), Rachel Bay Jones ( Catherine), Colin Cunliffe ( Lewis), Eli Tokash ( Theo)",https://encora.it/recordings/16026
16357,Company,New York Philharmonic Concert,2011-04-01,pro-shot,Not NFT,"Neil Patrick Harris ( Bobby), Patti LuPone ( Joanne), Jim Walton ( Larry), Katie Finneran ( Amy), Aaron Lazar ( Paul), Martha Plimpton ( Sarah), Stephen Colbert ( Harry), Jill Paice ( Susan), Craig Bierko ( Peter), Jennifer Laura Thompson ( Jenny), Jon Cryer ( David), Christina Hendricks ( April), Anika Noni Rose ( Marta), Chryssie Whitehead ( Kathy)",https://encora.it/recordings/16357
18245,Beauty and the Beast (Disney),Fourth US National Tour (Non-Equity),2014-12-03,Unknown,Not NFT,"Jillian Butterfield ( Belle), Ryan Everett Wood ( Beast), Cameron Bond ( Gaston), Thomas Mothershed ( Maurice), Patrick Pevehouse ( Lumière), Samuel Shurtleff ( Cogsworth), Emily Jewell ( Mrs. Potts), Melissa Jones ( Babette), Lacey Kim Kriston ( Madame de la Grande Bouche), Jake Bridges ( Le Fou), Ross Nemeth ( Chip), Taurean Barber ( Ensemble)",https://encora.it/recordings/18245
18902,Be More Chill,Broadway,2019-05-18,Unknown,Not NFT,"Will Roland ( Jeremy Heere), Troy Iwata ( Michael Mell), Stephanie Hsu ( Christine Canigula), Jason Tam ( The SQUIP), Lauren Marcus ( Brooke Lohst), Katlyn Carlson ( Chloe Valentine), Tiffany Mann ( Jenna Rolan), Cameron Bond ( Jake Dillinger), Gerard Canonico ( Rich Goranski), Jason SweetTooth Williams ( Mr. Heere), Jason SweetTooth Williams ( Mr. Reyes), Jason SweetTooth Williams ( Scary Stockboy)",https://encora.it/recordings/18902
19554,Evita,Regent's Park Open Air Theatre,2019-09-01,hitmewithyourbethshot,2020-01-27,"Samantha Pauly ( Eva Perón), Trent Saunders ( Che), Ektor Rivera ( Perón), Adam Pearce ( Magaldi), Frances Mayli McCann ( Perón's Mistress)",https://encora.it/recordings/19554
21786,Evita,Seventh US National Tour,2013-09-22,SunsetBlvd79,Not NFT,"Caroline Bowman ( Eva Perón), Josh Young ( Che), Sean MacLaughlin ( Perón), Christopher Johnstone ( Magaldi), Krystina Alabado ( Perón's Mistress)",https://encora.it/recordings/21786
24532,Wicked,Broadway,2019-05-01,StarCuffedJeans,2020-01-19,"Laurel Harris ( Elphaba), Ginna Claire Mason ( Glinda), Jake Boyd ( Fiyero), Michael McCormick ( The Wizard), Nancy Opel ( Madame Morrible), Gizel Jimenez ( Nessarose), Jesse JP Johnson ( Boq), Jamie Jackson ( Doctor Dillamond)",https://encora.it/recordings/24532
25573,If There Is I Haven't Found It Yet,Off-Broadway,2012-09-13,NYCG8R,Not NFT,"Jake Gyllenhaal ( Terry), Annie Funke ( Anna), Brian F. O'Byrne ( George), Michelle Gomez ( Fiona)",https://encora.it/recordings/25573
25887,Be More Chill,Broadway,2019-08-11,notjustthespongenextdoor,Not NFT,"Will Roland ( Jeremy Heere), George Salazar ( Michael Mell), Stephanie Hsu ( Christine Canigula), Jason Tam ( The SQUIP), Lauren Marcus ( Brooke Lohst), Katlyn Carlson ( Chloe Valentine), Tiffany Mann ( Jenna Rolan), Britton Smith ( Jake Dillinger), Gerard Canonico ( Rich Goranski), Jason SweetTooth Williams ( Mr. Heere), Jason SweetTooth Williams ( Mr. Reyes), Jason SweetTooth Williams ( Scary Stockboy)",https://encora.it/recordings/25887
26879,Be More Chill,Off-West End,2020-02-01,queenofthedead,2020-07-13,"Scott Folan ( Jeremy Heere), Blake Patrick Anderson ( Michael Mell), Miracle Chance ( Christine Canigula), Stewart Clarke ( The SQUIP), Eloise Davies ( Brooke Lohst), Millie O'Connell ( Chloe Valentine), Renée Lamb ( Jenna Rolan), Miles Paloma ( Jake Dillinger), James Hameed ( Rich Goranski), Christopher Fry ( Mr. Heere), Christopher Fry ( Mr. Reyes), Christopher Fry ( Scary Stockboy)",https://encora.it/recordings/26879
26949,The Wind in the Willows (Stiles & Drewe),West End,2017-01-01,pro-shot,Not NFT,"Rufus Hound ( Toad), Craig Mather ( Mole), Simon Lipkin ( Ratty), Gary Wilmot ( Badger), Neil McDermott ( Chief Weasel), Denise Welch ( Mrs. Otter), Denise Welch ( Barge Woman), Emilie du Leslay ( Portia), Joshua Gannon ( Lesser Weasel), James Gant ( Car Driver), Evan James ( Rabbit Butler), Michael Larcombe ( Head Chorister Fieldmouse), Chris Aukett ( Train Driver), Rosanna Bates ( Cheryl Stoat), Jenna Boyd ( Mrs. Hedgehog), Natalie Woods ( Horse), Abigail Brodie ( Horse), Jorell Coiffic-Kamall ( Scared Weasel), Nicole Deon ( Scared Stoat), Ryan Pidgen ( Prison Guard), Abigail Brodie ( Swallow), Rosanna Bates ( Swallow), Bethany Linsdell ( Swallow), Abigail Brodie ( Fieldmouse), Joshua Gannon ( Fieldmouse), Bethany Linsdell ( Fieldmouse), Adam Vaughan ( Magistrate), James Gant ( Mr. Hedgehog), Jenna Boyd ( Gaolers Daughter), Rakesh Boury ( Sentry Stoat)",https://encora.it/recordings/26949
27880,Wicked,Broadway,2019-09-01,StarCuffedJeans,2020-04-25,"Hannah Corneau ( Elphaba), Brittney Johnson ( Glinda), Kyle Dean Massey ( Fiyero), Michael McCormick ( The Wizard), Nancy Opel ( Madame Morrible), Gizel Jimenez ( Nessarose), Jesse JP Johnson ( Boq), Jamie Jackson ( Doctor Dillamond), Chase Madigan ( Chistery), Christianne Tisdale ( Midwife), Courtney Iventosch ( Witch's Mother)",https://encora.it/recordings/27880
